track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Pulse of Life,23,404070,0,0.36,0.464,4,-14.127,0,0.0387,0.368,0.341,0.115,0.0645,84.684,4,goth
Free Fall,42,416931,0,0.803,0.734,1,-9.163,0,0.0609,0.0561,0.869,0.107,0.152,125.0,4,techno
Riding with the King,57,264240,0,0.462,0.796,9,-6.202,1,0.0322,0.384,0.0,0.296,0.824,204.028,4,blues
Ho Hey,79,163133,0,0.682,0.471,0,-9.182,1,0.0301,0.765,0.0,0.0908,0.421,79.907,4,folk
Confetti in m'n Sokken,39,190601,1,0.573,0.983,0,-4.247,0,0.145,0.0506,0.278,0.131,0.185,161.964,4,hardstyle
Les matins de Paris (feat. Lio),22,232880,0,0.701,0.709,11,-11.241,1,0.0363,0.141,1.66e-05,0.324,0.837,116.978,4,club
La Casita de Mis Viejos (with Armando Pontier y su Orquesta),21,176320,0,0.621,0.685,5,-6.286,0,0.101,0.789,0.0,0.497,0.717,118.526,4,tango
"Ob-La-Di, Ob-La-Da - Remastered 2009",71,188960,0,0.818,0.728,10,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,4,british
Risingson,51,298826,0,0.521,0.892,10,-6.905,0,0.115,0.0242,0.681,0.0667,0.299,164.049,4,trip-hop
King of Suede,24,255373,0,0.78,0.808,11,-10.056,0,0.0382,0.271,0.0,0.0958,0.569,128.505,4,comedy
Faz no Vinte e Dois o Que Não Fez no Vinte e Um,42,161587,1,0.803,0.721,0,-3.051,1,0.34,0.66,1.02e-06,0.328,0.682,86.571,5,funk
After Hours,60,127453,0,0.608,0.152,7,-20.989,0,0.172,0.836,0.0,0.182,0.472,120.834,4,psych-rock
No Lixo,23,52222,0,0.322,0.984,8,-6.852,1,0.375,0.0224,0.0573,0.39,0.0362,179.482,3,death-metal
No Heroes (feat. Luciana),50,245002,0,0.725,0.877,11,-4.09,0,0.0451,0.00365,0.181,0.0594,0.411,127.992,4,progressive-house
Poppin Bottles - Original Mix,38,215040,0,0.932,0.523,1,-7.738,0,0.235,0.00161,0.3,0.0903,0.484,125.01,4,minimal-techno
命硬,52,217013,0,0.495,0.503,3,-6.838,1,0.032,0.67,0.0,0.14,0.333,185.088,3,cantopop
Uno,16,225226,0,0.433,0.489,11,-7.568,1,0.0529,0.907,0.0,0.122,0.494,122.512,4,tango
アンコール,66,271440,0,0.682,0.669,2,-4.741,1,0.0275,0.283,1e-06,0.145,0.831,81.999,4,j-pop
SOLO,56,165993,0,0.847,0.551,3,-7.132,0,0.142,0.06,4.37e-06,0.162,0.515,95.036,4,k-pop
Monster Trucks,52,166363,0,0.709,0.451,2,-12.4,1,0.0344,0.0572,0.0,0.76,0.876,110.001,4,children
Blood (with Foy Vance),43,248000,0,0.358,0.896,4,-4.547,0,0.159,0.083,0.0014,0.372,0.1,75.192,4,dubstep
Golden Hour,59,94169,0,0.504,0.0248,3,-26.158,1,0.0603,0.993,0.969,0.109,0.198,113.122,4,piano
Gorgeous (& Blanke with Bipolar Sunshine),46,277317,0,0.52,0.881,6,-4.249,0,0.116,0.047,0.000855,0.331,0.291,180.013,4,dubstep
THE ONLY TIME I FEEL ALIVE,49,163591,1,0.711,0.352,4,-8.599,0,0.327,0.408,3.66e-06,0.144,0.0617,136.896,4,emo
Não Me Deixe Agora,39,259970,0,0.507,0.834,0,-6.347,1,0.0309,0.19,2.29e-05,0.159,0.82,170.04,4,forro
There Will Come a Time - We Will Die Remix Edit,12,250369,0,0.429,0.606,9,-6.626,0,0.0954,0.0011,8.67e-05,0.39,0.38,122.985,4,breakbeat
I Feel It - Paul Woolford Extended Remix,30,369189,0,0.673,0.885,6,-7.007,1,0.0327,0.000975,0.807,0.0845,0.549,125.984,4,deep-house
Within the Abyss,17,219453,0,0.205,0.912,8,-6.826,1,0.0914,1.81e-06,0.00956,0.25,0.459,149.672,4,black-metal
錯的人,22,311813,0,0.491,0.499,4,-6.91,1,0.0375,0.755,0.0,0.102,0.247,127.689,4,mandopop
Annica,48,175250,0,0.242,0.151,2,-19.017,0,0.0346,0.932,0.892,0.107,0.252,94.624,4,sleep
Cambalache,38,188200,0,0.585,0.256,2,-17.089,1,0.08,0.546,0.0,0.617,0.793,115.227,4,tango
Página Manchada,41,276653,0,0.537,0.508,0,-7.483,1,0.0304,0.196,0.000394,0.181,0.341,147.984,4,gospel
Asal Mein,71,224240,0,0.656,0.551,8,-6.43,1,0.0299,0.721,1.26e-06,0.0947,0.329,114.106,4,pop
JAJAJA,32,191472,0,0.714,0.889,0,-4.857,1,0.0367,0.0483,4.02e-05,0.413,0.935,122.757,4,afrobeat
"Ente Pranayathin - From ""Chembada""",45,288640,0,0.545,0.818,9,-4.723,0,0.0829,0.352,7.54e-06,0.171,0.741,171.915,4,malay
I Make People,21,363474,0,0.528,0.954,9,-4.065,1,0.949,0.838,0.0,0.664,0.302,71.944,4,comedy
Dream Song,28,135027,0,0.547,0.457,9,-8.65,1,0.0314,0.611,0.0,0.272,0.32,99.994,4,children
WILLY,57,165000,0,0.713,0.632,9,-7.692,0,0.353,0.434,1.59e-06,0.122,0.741,70.924,4,funk
Adrenaline Machine,30,352617,0,0.694,0.718,7,-7.298,1,0.0431,0.00878,0.844,0.0977,0.0376,127.996,3,minimal-techno
Nord Marathon,11,120352,0,0.607,0.433,9,-11.999,0,0.0355,0.856,0.913,0.109,0.37,100.02,4,idm
Le sens des affaires,32,212800,1,0.877,0.6,1,-9.299,0,0.288,0.563,0.0,0.0825,0.529,124.007,4,french
Sort It Out,31,116084,0,0.458,0.923,11,-4.551,1,0.0777,5.14e-05,0.000968,0.0895,0.613,110.919,4,garage
暗湧,43,261813,0,0.325,0.213,10,-17.136,0,0.04,0.898,0.0541,0.0909,0.326,181.1,3,mandopop
Ghost Assassin - Original Mix,50,221624,0,0.483,0.923,7,-4.477,1,0.0475,0.00809,4.06e-05,0.0929,0.0798,176.001,4,drum-and-bass
Rät,76,194165,1,0.609,0.449,5,-13.291,0,0.249,0.326,0.000115,0.147,0.309,143.854,4,indie
If I Can Dream,71,191840,0,0.325,0.715,7,-7.744,1,0.0368,0.00708,2.79e-05,0.0987,0.282,93.914,3,rock-n-roll
Colors of the Wind (From 'Pocahontas'),21,92978,0,0.421,0.017,5,-30.3,1,0.0632,0.995,0.949,0.113,0.314,72.769,4,disney
"Dreaming of the Days (Vocal Version of Einaudi’s ""I Giorni"")",18,260940,0,0.303,0.252,11,-13.07,1,0.0366,0.883,1.28e-05,0.114,0.128,127.113,3,opera
Shor,48,226980,0,0.623,0.195,11,-11.463,1,0.0287,0.868,1.71e-06,0.087,0.16,70.005,4,indie
Cold Blooded Love,52,181261,0,0.623,0.85,8,-5.413,0,0.0334,0.00832,0.0237,0.289,0.707,134.978,4,edm
Buscándote,16,168000,0,0.468,0.337,9,-9.125,0,0.0481,0.558,0.0043,0.0857,0.408,129.974,4,tango
Kayla,50,175200,0,0.41,0.256,8,-8.653,1,0.0284,0.845,6.31e-06,0.116,0.308,137.741,4,singer-songwriter
De Vuelta a Tu Corazón (En Vivo),31,245783,0,0.674,0.597,4,-10.695,0,0.0599,0.271,0.0,0.124,0.796,180.081,4,salsa
How Can You Mend a Broken Heart,24,383502,0,0.448,0.421,4,-6.959,1,0.0412,0.507,2.28e-05,0.0707,0.367,146.427,3,blues
N - Ao Vivo,43,319413,0,0.489,0.31,2,-12.169,0,0.149,0.868,0.0,0.845,0.347,105.223,5,mpb
ELEVEN,79,178453,0,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,4,k-pop
Paixão Além Do Querer / Quem Vai Chorar Sou Eu - Ao Vivo,38,241257,0,0.481,0.725,9,-6.621,1,0.0338,0.736,0.0,0.208,0.815,94.909,4,samba
Love Tonight - David Guetta Remix Edit,81,158095,0,0.621,0.989,10,-4.225,0,0.0434,0.015,0.357,0.184,0.0348,126.002,4,house
I Know You,25,222733,0,0.563,0.115,3,-16.809,1,0.0626,0.934,0.0,0.102,0.515,129.046,3,show-tunes
What A Time (feat. Niall Horan),82,173306,0,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,4,dance
Five Little Speckled Frogs,22,97266,0,0.962,0.423,0,-9.971,1,0.103,0.33,0.0,0.293,0.966,110.07,4,kids
Pétala,43,283240,0,0.443,0.468,9,-7.287,1,0.0275,0.269,0.0,0.284,0.303,135.578,3,mpb
snow,18,197546,0,0.583,0.276,5,-13.276,0,0.0369,0.789,0.00475,0.103,0.224,129.294,4,honky-tonk
Country Roads,57,173687,0,0.37,0.824,9,-3.82,1,0.0944,0.167,3.8e-06,0.972,0.273,155.005,4,hardstyle
Schau mir in die Augen,38,195744,0,0.473,0.575,11,-9.477,0,0.348,0.316,0.0,0.105,0.529,81.251,4,german
God Is a DJ - Radio Mix,11,214866,0,0.686,0.929,6,-5.577,1,0.0401,0.0318,0.0408,0.344,0.476,129.948,4,trip-hop
Heaven Knows I'm Miserable Now - 2011 Remaster,77,215760,0,0.609,0.759,6,-4.862,1,0.0276,0.028,0.0,0.183,0.774,114.045,4,punk-rock
The Hateful and the Faithful,29,189000,0,0.622,0.793,5,-9.784,0,0.0398,0.00898,0.00165,0.106,0.79,105.045,4,rockabilly
Break Apart,56,274693,0,0.648,0.458,5,-15.169,1,0.0311,0.864,0.0944,0.366,0.0848,119.96,4,electronic
Gimme Some Lovin',20,170026,0,0.831,0.658,10,-12.597,0,0.054,0.415,0.0297,0.148,0.961,116.698,4,afrobeat
瞳はダイアモンド - Diamond Eyes,19,258160,0,0.293,0.484,7,-7.425,1,0.0338,0.729,1.3e-06,0.122,0.151,77.003,4,j-idol
Arrogant,68,102315,0,0.751,0.739,1,-6.977,0,0.045,0.2,0.0,0.0926,0.405,95.003,4,hip-hop
I Me Mine - Remastered 2009,54,145586,0,0.291,0.638,9,-7.854,0,0.0554,0.179,0.0,0.101,0.525,185.235,3,psych-rock
我的快樂時代,43,216760,0,0.582,0.442,2,-7.318,1,0.0266,0.625,1.27e-06,0.205,0.23,90.025,4,cantopop
Tu Alma Mía / Adelita,36,233266,0,0.546,0.464,9,-18.492,0,0.0638,0.00383,8.78e-06,0.224,0.731,116.327,4,hardcore
Клеопатри,49,185164,0,0.609,0.701,2,-7.492,1,0.039,0.000497,6.07e-05,0.175,0.285,157.12,4,electronic
Against The Wall - Acoustic Version,49,206824,0,0.58,0.488,1,-10.585,1,0.0262,0.255,2.63e-05,0.108,0.13,131.998,4,grunge
Do You Know? (The Ping Pong Song),55,218053,0,0.755,0.765,8,-4.328,1,0.0486,0.0503,0.0,0.0326,0.691,114.993,4,latin
Butterflies,6,541133,0,0.778,0.321,10,-17.08,0,0.0588,0.000747,0.895,0.0695,0.332,120.006,4,detroit-techno
Deathtripper,20,64346,1,0.251,0.988,9,-3.715,1,0.238,1.29e-05,0.881,0.0505,0.0462,139.438,1,grindcore
Melt into you - Mixed,11,359999,0,0.663,0.702,7,-9.069,1,0.0268,0.0718,0.899,0.256,0.447,99.976,4,chicago-house
Sweet Child O' Mine,79,356066,1,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,4,hard-rock
Spell of Death,18,169160,0,0.483,0.714,2,-10.79,1,0.0359,7.17e-06,0.88,0.318,0.0419,120.046,4,black-metal
走れ!Bicycle,22,222320,0,0.507,0.942,2,-2.124,1,0.0689,0.111,1.31e-06,0.246,0.635,165.074,4,j-idol
Coral de anjos,45,232746,0,0.413,0.917,2,-5.999,0,0.0742,0.313,0.0,0.732,0.478,77.635,4,samba
Find Your Inner Ghoul,45,65903,0,0.585,0.722,7,-3.557,1,0.0423,0.00808,0.0,0.301,0.411,132.005,1,disney
Forever Ravers,38,360812,0,0.524,0.863,2,-8.201,1,0.0479,0.00196,0.751,0.13,0.112,129.021,4,minimal-techno
Through the Barricades,37,334800,0,0.488,0.292,7,-14.646,1,0.03,0.228,5.8e-05,0.134,0.205,146.018,4,disco
Safe,64,225230,0,0.36,0.845,0,-4.742,1,0.0344,0.0316,3.41e-05,0.063,0.231,130.066,4,progressive-house
High School,67,218746,1,0.531,0.683,1,-4.093,0,0.333,0.135,0.00265,0.22,0.212,84.817,4,dance
Berserk,51,162461,0,0.53,0.993,9,-1.926,1,0.419,0.000142,0.222,0.0712,0.201,97.53,3,happy
Down By The Bay,33,150240,0,0.837,0.603,4,-4.819,1,0.163,0.141,0.0,0.146,0.932,98.884,4,kids
Rab Raakha,47,239956,0,0.559,0.781,2,-6.496,1,0.0341,0.629,0.0569,0.112,0.373,119.964,4,indie-pop
Friends,35,198825,0,0.305,0.0647,1,-24.815,1,0.0368,0.988,0.915,0.0984,0.257,76.732,4,piano
Arabian Night - Dub Mix,28,402649,0,0.702,0.649,6,-12.736,0,0.0644,0.0129,0.849,0.0698,0.131,117.001,4,deep-house
Never Gone,43,243200,0,0.407,0.647,2,-4.69,1,0.0384,0.178,3.65e-06,0.361,0.196,149.91,4,dubstep
Bendito Serás,39,301666,0,0.514,0.427,0,-6.539,1,0.0299,0.407,0.0,0.293,0.244,141.848,4,gospel
Desde Brasil,56,232640,0,0.631,0.879,6,-5.476,0,0.0324,0.329,0.000378,0.0805,0.847,156.12,4,spanish
Jó,47,292179,0,0.47,0.391,8,-9.124,1,0.0411,0.823,0.0,0.358,0.189,120.25,4,brazil
Isaías 6 - Ao Vivo,48,429406,0,0.315,0.624,9,-7.487,1,0.0336,0.808,0.0,0.918,0.34,139.649,4,reggae
A Day Without a War,21,149480,0,0.526,0.818,2,-4.656,1,0.0364,0.0178,0.0,0.116,0.781,148.377,4,power-pop
Once,38,153039,0,0.522,0.854,9,-5.274,0,0.0431,0.0498,0.000253,0.265,0.699,136.087,4,electronic
Déjà vu,21,246143,0,0.688,0.601,9,-10.052,0,0.166,0.386,0.836,0.266,0.653,136.022,4,trip-hop
Plotting a Pixie's Plight,26,54040,0,0.354,0.0427,0,-20.487,1,0.039,0.894,0.824,0.128,0.238,119.003,1,disney
Summer Tiime,54,167053,0,0.857,0.798,1,-4.062,0,0.0651,0.313,3.89e-06,0.316,0.353,100.0,4,j-dance
Cruel Indiferencia,27,172396,0,0.691,0.48,3,-6.77,1,0.029,0.675,0.000238,0.116,0.723,109.342,4,salsa
Lábios Divididos,48,249679,0,0.612,0.928,0,-2.862,0,0.0408,0.304,0.0,0.423,0.736,81.008,4,forro
Not No Malayalam Rapper,26,236000,0,0.561,0.351,6,-13.609,0,0.335,0.713,0.000714,0.11,0.629,176.137,4,malay
Jazzo/Lose Myself - Original Mix,5,402796,0,0.845,0.539,9,-5.687,1,0.0447,0.0112,0.0194,0.059,0.587,124.975,4,detroit-techno
Aguante Bonavena,36,160533,0,0.401,0.977,9,-2.953,1,0.144,0.00839,1.07e-06,0.555,0.351,73.666,4,heavy-metal
Call of the Wild,22,155720,0,0.68,0.878,4,-5.658,0,0.0405,0.294,0.000414,0.108,0.831,122.999,4,rockabilly
Wheels On The Bus,33,164813,0,0.693,0.907,4,-3.379,1,0.0828,0.0601,0.00281,0.498,0.779,155.064,4,kids
Raavana,48,258122,0,0.597,0.892,4,-5.121,0,0.0492,0.145,9.24e-05,0.118,0.634,80.009,4,indian
Ganja - Deekline & Kleu Remix - Mixed,11,120685,0,0.673,0.886,1,-6.113,1,0.209,0.0563,0.0,0.286,0.559,174.9,4,breakbeat
Under You,5,262733,0,0.663,0.57,2,-10.465,1,0.0304,0.0426,0.0122,0.281,0.687,103.287,4,chicago-house
Pyramids (feat. Sanjin) - Radio Mix,54,196874,0,0.602,0.965,10,-0.959,1,0.074,0.000269,0.00202,0.0859,0.215,128.14,4,electronic
"Deus Tremendo (feat. Vanilda Bordieri, Eliane Silva, Lydia Moisés, Suelen de Jesus, Célia Sakamoto, Elaine Martins & Shirley Carvalhaes) - Ao Vivo",38,232146,0,0.575,0.898,10,-4.158,1,0.0446,0.256,6.14e-05,0.88,0.619,109.963,4,gospel
I'll Do It Again,7,301926,0,0.94,0.894,6,-3.0,0,0.216,0.42,0.0,0.067,0.675,124.024,4,detroit-techno
Full Bloom,34,162000,0,0.456,0.264,8,-11.432,1,0.0297,0.916,0.767,0.111,0.0773,147.927,4,guitar
Honky Tonk Blues - Non-Session Demo,11,116733,0,0.632,0.308,7,-10.242,1,0.0302,0.762,0.0,0.162,0.752,134.173,4,honky-tonk
Digitais - Ao Vivo,40,261226,0,0.335,0.559,2,-8.707,1,0.0563,0.569,0.0,0.873,0.297,89.274,4,mpb
Ammathanal,25,271578,0,0.605,0.502,2,-8.451,1,0.0322,0.856,1.05e-05,0.0982,0.348,113.842,3,malay
Youth,51,144615,0,0.675,0.133,6,-10.8,1,0.0367,0.513,0.927,0.12,0.262,78.001,4,study
Iron Cage,23,241981,0,0.401,0.984,5,-3.445,0,0.0859,1.69e-05,0.00811,0.0976,0.277,162.044,4,black-metal
Remember,50,312266,0,0.416,0.429,0,-10.347,1,0.0355,0.592,0.0,0.0622,0.0926,91.072,4,world-music
Politics,21,314546,0,0.64,0.173,1,-26.105,1,0.94,0.822,0.0,0.972,0.408,105.574,4,comedy
Bounce Ass - Original Mix,15,156455,1,0.958,0.707,1,-8.674,1,0.108,0.0921,0.0107,0.19,0.412,134.998,4,club
Everybody Talks,80,177280,0,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,4,alternative
Beyond The Invisible,42,300026,0,0.458,0.683,7,-9.823,0,0.0319,0.0793,0.0252,0.137,0.15,99.009,4,new-age
When I R.I.P.,75,174567,1,0.417,0.551,8,-6.456,0,0.174,0.73,0.00166,0.0907,0.444,87.614,4,indie
Du wirst niemals eine Lady,23,317906,0,0.512,0.593,5,-9.455,1,0.506,0.71,0.0,0.616,0.638,75.229,4,show-tunes
CRY,60,135418,0,0.676,0.481,1,-11.254,1,0.154,0.836,1.02e-06,0.0982,0.608,152.003,4,sad
Burning Memories,13,149573,0,0.386,0.399,10,-12.42,1,0.031,0.75,6.82e-05,0.378,0.548,102.175,4,honky-tonk
Taxi Drive,46,200470,1,0.634,0.682,8,-6.528,0,0.375,0.0554,0.0,0.194,0.632,170.097,3,funk
Big Fun - Magic Juan Remix,14,304215,0,0.782,0.875,10,-10.943,0,0.11,0.0436,0.64,0.0533,0.702,119.79,4,detroit-techno
The Bells Of Notre Dame (Reprise),34,71373,0,0.275,0.414,2,-15.251,1,0.0549,0.695,0.000299,0.3,0.268,137.625,3,disney
Maine Khud Ko,58,329072,0,0.648,0.52,7,-8.543,1,0.0249,0.674,0.00129,0.0821,0.492,102.975,4,hip-hop
O Grande Amor da Minha Vida (Convite de Casamento),50,237102,0,0.524,0.66,2,-8.309,1,0.0406,0.319,0.0,0.471,0.498,145.865,4,sertanejo
Feel Good (feat. Daya),67,248156,0,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064,4,edm
Halellujah - Ao Vivo,45,244800,0,0.28,0.55,0,-8.087,1,0.0315,0.0589,2.23e-06,0.408,0.258,179.555,3,brazil
Como Tu Cariño (with Rodolfo Lesica & Argentino Ledesma),16,211053,0,0.611,0.448,7,-7.083,0,0.0461,0.649,1.06e-05,0.0464,0.402,99.404,4,tango
La reina de Uxmal,46,219733,0,0.529,0.616,1,-4.439,1,0.0263,0.415,0.0,0.0922,0.294,113.181,4,punk
Ghosts 'n' Stuff,56,328253,0,0.617,0.617,8,-6.941,1,0.122,3.97e-05,0.0598,0.253,0.517,127.996,4,progressive-house
夏を待ちきれなくて,36,275666,0,0.607,0.859,2,-4.965,0,0.0399,0.0892,0.0,0.0629,0.456,120.001,4,j-pop
Priceless,56,208520,0,0.529,0.769,11,-6.369,1,0.0469,0.00532,0.0,0.19,0.66,73.946,4,world-music
Besteste Band,43,214396,1,0.711,0.902,7,-3.231,1,0.0426,0.0231,0.0,0.245,0.503,110.0,4,german
Rathathin Rathamay,47,278240,0,0.737,0.733,4,-7.007,0,0.04,0.58,0.0051,0.119,0.762,125.013,4,k-pop
Destination Calabria - Radio Edit,75,223111,0,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,4,disco
Thirty-One Days of Rain,17,62306,1,0.331,0.662,3,-4.471,1,0.0353,7.89e-06,0.263,0.086,0.267,88.118,4,grindcore
Unravel Lofi (Tokyo Ghoul),59,60497,0,0.481,0.0888,7,-23.984,0,0.033,0.949,0.92,0.0989,0.427,170.309,4,anime
Final Masquerade,64,217613,0,0.466,0.852,3,-4.487,1,0.0585,0.00774,2.6e-06,0.0989,0.428,164.032,4,grunge
O Último Bar,42,187333,0,0.455,0.974,9,-2.6,1,0.0486,0.00341,0.0,0.157,0.817,167.934,4,brazil
Home of the Rejects,25,237266,0,0.501,0.935,7,-3.675,1,0.0682,0.00133,0.00211,0.247,0.173,94.989,4,goth
Groovy Distortion,10,209000,0,0.813,0.828,11,-10.84,0,0.0488,0.261,0.896,0.101,0.571,130.271,4,idm
Ronda de los Amigos,39,107129,0,0.612,0.425,2,-11.074,1,0.0599,0.897,0.0,0.219,0.64,142.962,3,latino
Impossível - Ao Vivo,34,264760,0,0.371,0.981,9,-5.668,1,0.174,0.024,0.0408,0.229,0.115,142.858,4,ska
Navegándote,33,269093,0,0.68,0.839,5,-4.235,0,0.0421,0.366,3.6e-06,0.0935,0.853,94.425,4,salsa
You've Got a Friend in Me,18,124520,0,0.683,0.217,3,-11.833,1,0.0532,0.979,0.00404,0.132,0.339,117.58,4,disney
Get over U - Director's Cut Mix - Sami Dee Edit,10,379097,0,0.773,0.82,1,-7.014,1,0.05,8.95e-05,0.337,0.0468,0.553,126.025,4,chicago-house
Die a King,69,169061,1,0.632,0.946,0,-2.784,0,0.277,0.192,0.0,0.495,0.324,125.061,3,emo
My Last Serenade,53,253760,0,0.441,0.943,3,-4.996,1,0.138,0.000506,0.0397,0.122,0.142,177.971,4,metalcore
Play With Me,59,211440,0,0.495,0.868,6,-8.89,1,0.0548,0.00586,0.00139,0.111,0.273,101.346,4,hard-rock
Fils de,35,291736,0,0.823,0.827,11,-4.788,0,0.055,0.143,0.0,0.14,0.726,102.007,4,french
João Viu,38,312726,0,0.338,0.73,5,-6.175,1,0.0551,0.21,1.5e-05,0.728,0.326,140.819,4,gospel
Volando Entre Tus Brazos,35,265093,0,0.564,0.431,5,-7.685,0,0.027,0.622,0.0,0.116,0.163,99.88,4,salsa
Dream House,46,554573,0,0.1,0.804,7,-4.669,1,0.0768,6.84e-06,0.916,0.384,0.0954,82.211,4,black-metal
Sólo Para Amarte,38,342160,0,0.522,0.632,6,-15.762,0,0.0346,0.0268,0.916,0.202,0.539,91.95,4,heavy-metal
Territory,67,276373,0,0.563,0.44,9,-11.943,0,0.0822,0.286,0.683,0.269,0.213,120.009,4,french
Drown,21,261387,0,0.541,0.918,0,-2.203,0,0.126,0.0188,0.0,0.9,0.107,155.02,4,hardstyle
Our Song,71,163733,0,0.572,0.759,2,-4.312,1,0.0506,0.127,0.0,0.224,0.519,80.95,4,house
Physio,16,215172,0,0.489,0.977,1,-0.938,1,0.0827,0.0386,0.027,0.291,0.155,116.011,5,drum-and-bass
You & Me,47,252590,0,0.335,0.888,0,-5.395,0,0.0887,0.14,0.604,0.171,0.149,139.77,4,dubstep
The Call,61,187426,0,0.58,0.101,10,-15.661,1,0.0289,0.934,0.000302,0.0768,0.302,91.003,3,piano
Bossy Bossa,35,87000,0,0.719,0.332,10,-9.41,1,0.071,0.0372,0.922,0.166,0.408,159.976,4,study
Tão Profundo - Ao Vivo,39,248120,0,0.408,0.86,1,-5.107,1,0.0657,0.0805,0.0,0.983,0.244,107.972,4,gospel
Post-God Nirvana,49,190520,1,0.365,0.685,1,-9.227,1,0.0525,0.104,0.357,0.189,0.0395,79.99,4,black-metal
Graveyard,69,181805,0,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,4,indie-pop
What in XXXTarnation,56,164520,1,0.862,0.6,7,-5.522,1,0.151,0.16,0.0,0.102,0.433,119.072,4,emo
Flores Del Alma,21,184733,0,0.67,0.504,7,-7.958,0,0.0674,0.948,0.495,0.552,0.859,103.68,3,tango
